,id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,Otros,nan_filas
3360,U-003672,2020-09-17,España,Barcelona,"Viladecans, Barcelona",Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercial,Más de 1 año,"45,42,10,7",Si,Si,No,Hasta 600€,Primera residencia,Pueblos de Zaragoza-Huesca,6 meses,4,1,0,0,0,0,0
3361,U-003673,2020-09-18,España,La Rioja,La Rioja,No estoy en ninguna de esas situaciones,Gestor administrativo,3 meses,"32,30,2",No,Si,No,Hasta 300€,Segunda residencia,Sierra norte de Madrid,3 meses,3,1,0,0,0,0,0
3362,U-003674,2020-09-18,España,Andalucía,Malaga,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,"44,5",Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza-Huesca,Aún me lo estoy pensando,2,0,0,0,0,0,0
3363,U-003675,2020-09-18,España,Aragón,Zaragoza,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Jubilado,3 meses,"60,65",Si,Si,No,Hasta 450€,Primera residencia,Pueblos de Zaragoza-Huesca,Aún me lo estoy pensando,2,0,0,0,0,1,0
3364,U-003676,2020-09-18,España,Andalucía,Huelva,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,3 meses,"42,40",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,2,1,0,0,0,0,0
3365,U-003677,2020-09-18,España,Toledo,El viso de san Juan,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,6 meses,"41,33,6",Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,3,0,0,0,0,0,0
3366,U-003678,2020-09-18,España,Canarias,San Cristóbal de la laguna. Tenerife,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,31,No,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,1,0,0,0,0,0,0
3367,U-003679,2020-09-18,España,Madrid,MADRID,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,1 año,47,No,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,1,0,0,0,0,0,0
3368,U-003680,2020-09-18,España,Toledo,Illescas,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,Más de 1 año,"42,39,15,12,7,2,1",Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses,7,0,0,0,0,0,0
3369,U-003681,2020-09-18,España,Ceuta y Melilla,Melilla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Trabajador social,3 meses,"31,32,1",Si,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza-Huesca,Aún me lo estoy pensando,3,1,0,0,0,0,0
3370,U-003682,2020-09-19,España,Comunitat Valenciana,Valencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,3 meses,36,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,1,1,0,0,0,0,0
3371,U-003683,2020-09-19,España,Madrid,Alcorcon Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Contable,3 meses,"53,41,8",Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,3,0,0,0,0,0,0
3372,U-003684,2020-09-20,España,Asturias,Oviedo,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Marketing y publicidad,6 meses,"31,28,05",No,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses,3,1,0,0,0,0,0
3373,U-003685,2020-09-20,España,Andalucía,CADIZ,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,"65,61,23",Si,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses,3,0,0,0,0,0,0
3374,U-003686,2020-09-20,España,Madrid,Madrid/Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero,Más de 1 año,"27,29",Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,2,0,1,0,0,0,0
3375,U-003687,2020-09-20,España,Málaga,Sayalonga,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Desempleado,3 meses,"40,40,2",Si,Si,No,Hasta 450€,Primera residencia,Pueblos de Zaragoza-Huesca,Aún me lo estoy pensando,3,0,0,0,0,1,0
3376,U-003688,2020-09-20,España,Comunitat Valenciana,VALENCIA,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Abogado,6 meses,"28,28",Si,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses,2,1,0,0,0,0,0
3377,U-003689,2020-09-20,España,Andalucía,Córdoba,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico,3 meses,"49,47,18,18",No,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,4,0,1,0,0,0,0
3378,U-003690,2020-09-20,España,Madrid,Alcalá de Henares,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Documentalista,3 meses,"42,40",Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando,2,1,0,0,0,0,0
3379,U-003691,2020-09-20,España,Madrid,Parla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,"40,37,9,7,7",Si,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,5,0,0,0,0,0,0
3380,U-003692,2020-09-21,Latino América,Ninguna,Paraná,No estoy en ninguna de esas situaciones,Albañil,3 meses,"38,29",No,Si,No,Hasta 300€,Primera residencia,Pueblos de Galicia,6 meses,2,0,0,1,0,0,0
3381,U-003693,2020-09-21,Latino América,Ninguna,buenos aires,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor,Más de 1 año,"55,60",No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses,2,0,0,0,0,0,0
3382,U-003694,2020-09-21,España,Vizcaya,Portugalete (Bizkaia),Tengo nacionalidad española / de un país de la UE / permiso de residencia,Albañil,1 año,36,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,1,0,0,1,0,0,0
3383,U-003695,2020-09-21,España,Comunitat Valenciana,valencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Electricista,6 meses,49,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,1,0,0,1,0,0,0
3384,U-003696,2020-09-21,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Hostelero,3 meses,"24,21,2",No,No,No,Hasta 450€,Primera residencia,Indiferente,3 meses,3,1,0,0,0,0,0
3385,U-003697,2020-09-21,España,Madrid,Humanes de Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,3 meses,0,No,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses,1,0,0,0,0,0,0
3386,U-003698,2020-09-21,España,Madrid,Soto del real,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,"49,3",Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses,2,0,0,0,0,0,0
3387,U-003699,2020-09-21,España,Comunitat Valenciana,Alicante,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Hostelero,3 meses,"34,27,9,6,5",No,No,No,Hasta 300€,Primera residencia,Indiferente,3 meses,5,1,0,0,0,0,0
